Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Pelvis,4.9E-05,6.9E-05,0.031218,0,0,0,5.326433,0.052762,3.7E-05,-8E-06,0.010733,-5E-06,0.057077,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/Pelvis.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/Pelvis.STL,,pelvis-1,pelvis origin,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Torso,-0.015965,0,0.229198,0,0,0,21.311275,0.411035,0,0.004879,0.320901,-2E-06,0.157956,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/Torso.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/Torso.STL,,Main Body_detailed-1,ty_o,ty_x,Waist_joint,revolute,0,0,0.0825,0,0,0,Pelvis,0,0,-1,100,13,-0.87,0.87,,,,,,,,
L_shoulder_pitch,0.002629,0.044079,0,0,0,0,0.450636,0.000741,-5.2E-05,0,0.000897,0,0.00118,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/L_shoulder_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/L_shoulder_pitch.STL,,shoulder roll-1,lsp_o,lsp_x,L_shoulder_pitch_joint,revolute,0,0.172,0.3695,0,0,0,Torso,0,1,0,55,16,-3.14,1.05,,,,,,,,
L_shoulder_roll,0.001469,-7E-05,-0.079989,0,0,0,2.002576,0.020339,4E-06,-0.000225,0.020072,-4.8E-05,0.002315,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/L_shoulder_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/L_shoulder_roll.STL,,upper arm-1,lsr_o,lsr_x,L_shoulder_roll_joint,revolute,0,0.072,0,0,0,0,L_shoulder_pitch,1,0,0,55,16,-0.087,2.62,,,,,,,,
L_shoulder_yaw,4.8E-05,0.00162,-0.045384,0,0,0,0.608514,0.000608,0,0,0.00049,2E-06,0.000483,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/L_shoulder_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/L_shoulder_yaw.STL,,elbow pitch-1,lsy_o,lsy_x,L_shoulder_yaw_joint,revolute,0,0,-0.250499999999996,0,0,0,L_shoulder_roll,0,0,-1,30,8.5,-1.57,1.57,,,,,,,,
L_elbow,0,-5.2E-05,-0.075944,0,0,0,0.297153,0.001705,0,0,0.001534,1E-06,0.000304,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/L_elbow.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/L_elbow.STL,,5. Lower Arm_224.1g-1,lep_o,lep_x,L_elbow_joint,revolute,0,0,-0.0545,0,0,0,L_shoulder_yaw,0,1,0,30,8.5,-1.9,1.05,,,,,,,,
L_EE,0,0,-0.003514,0,0,0,0.15,5.5E-05,0,0,5.5E-05,0,6.4E-05,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/L_EE.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/L_EE.STL,,EndEffector-1,lee_o,lee_x,L_EE_joint,fixed,0,0,-0.3,0,0,0,L_elbow,0,0,0,30,8.5,-1.57,1.57,,,,,,,,
R_shoulder_pitch,0.002629,-0.044079,0,0,0,0,0.450636,0.000741,5.2E-05,0,0.000897,0,0.00118,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/R_shoulder_pitch.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/R_shoulder_pitch.STL,,shoulder roll-2,rsp_o,rsp_x,R_shoulder_pitch_joint,revolute,0,-0.172,0.3695,0,0,0,Torso,0,1,0,55,16,-3.14,1.05,,,,,,,,
R_shoulder_roll,0.001469,-7E-05,-0.079989,0,0,0,2.002576,0.020339,4E-06,-0.000225,0.020072,-4.8E-05,0.002315,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/R_shoulder_roll.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/R_shoulder_roll.STL,,upper arm-2,rsr_o,rsr_x,R_shoulder_roll_joint,revolute,0,-0.072,0,0,0,0,R_shoulder_pitch,1,0,0,55,16,-2.62,0.087,,,,,,,,
R_shoulder_yaw,-4.8E-05,-0.00162,-0.045384,0,0,0,0.60851,0.000608,0,0,0.00049,-2E-06,0.000483,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/R_shoulder_yaw.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://wholebody_4_dof_arm/meshes/R_shoulder_yaw.STL,,elbow pitch-2,rsy_o,rsy_x,R_shoulder_yaw_joint,revolute,0,0,-0.2505,0,0,0,R_shoulder_roll,0,0,-1,30,8.5,-1.57,1.57,,,,,,,,
